證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
030966,大成鋼元大0A購05,"47,000",1,"68,150",1.45,1.45,1.45,1.45,X,0.00,1.43,100,1.53,10,45.95
030967,華通元大0B購01,"1,376,000",59,"1,092,170",0.82,0.85,0.76,0.79,-,0.02,0.78,20,0.79,50,41.00
030968,台積電元大0A購09,0,0,0,--,--,--,--, ,0.00,1.23,100,1.24,50,606.00
030969,佳世達元大0A購02,0,0,0,--,--,--,--, ,0.00,0.38,10,0.44,10,30.10
030970,佳世達元大0C購02,"29,000",2,"16,300",0.57,0.57,0.56,0.56,X,0.00,0.57,100,0.65,100,30.10
030971,致茂元大0A購02,"464,000",10,"494,910",1.09,1.09,1.05,1.06,-,0.07,1.04,10,1.05,50,198.00
030972,瑞昱元大0A購02,"156,000",4,"163,940",1.06,1.10,1.05,1.10,-,0.02,1.14,10,1.16,50,519.00
030973,瑞昱元大0B購01,"9,000",1,"13,680",1.52,1.52,1.52,1.52,-,0.03,1.53,100,1.55,50,519.00
030974,凌陽元大0A購02,"20,000",2,"20,600",1.00,1.06,1.00,1.06,X,0.00,1.06,100,1.07,50,32.40
030975,美律元大0B購02,"1,000",1,200,0.20,0.20,0.20,0.20,X,0.00,0.21,499,0.22,250,107.00
030976,京元電元大0A購01,"22,000",5,"12,830",0.58,0.63,0.58,0.63,-,0.02,0.68,100,0.77,5,43.15
030977,聯發科元大0A購08,"6,000",2,"7,540",1.26,1.26,1.25,1.25,-,0.10,1.26,100,1.27,50,978.00
030978,聯發科元大0A購09,0,0,0,--,--,--,--, ,0.00,1.11,100,1.21,10,978.00
030979,全新元大0A購03,"470,000",16,"413,760",0.85,0.93,0.85,0.93,+,0.06,0.93,10,0.95,50,122.50
030980,全新元大0A購04,"68,000",4,"61,000",0.88,0.90,0.88,0.90,X,0.00,0.90,100,0.92,50,122.50
030981,宏達電元大0B購02,"49,000",6,"207,580",3.92,4.35,3.87,4.29,+,0.12,4.24,100,4.30,10,40.60
030982,宏達電元大11購01,0,0,0,--,--,--,--, ,0.00,3.39,100,--,0,40.60
030983,國揚元大0A購03,"294,000",8,"111,520",0.38,0.38,0.37,0.38,-,0.01,0.38,100,0.39,10,30.45
030984,長榮元大0A購13,0,0,0,--,--,--,--, ,0.00,16.60,100,--,0,136.50
030985,長榮元大0A購14,0,0,0,--,--,--,--, ,0.00,18.00,100,--,0,136.50
030986,健和興元大0B購01,"737,000",31,"1,433,220",1.82,2.03,1.81,1.88,+,0.01,1.87,100,1.88,50,77.80
030987,嘉晶元大0C購01,0,0,0,--,--,--,--, ,0.00,0.83,100,0.93,10,72.70
030988,麗豐元大0A購02,"10,000",1,"5,800",0.58,0.58,0.58,0.58,-,0.04,0.59,100,0.60,50,208.50
030989,松翰元大0A購05,0,0,0,--,--,--,--, ,0.00,0.43,100,0.45,50,96.50
030990,申豐元大0B購01,"10,000",1,"9,900",0.99,0.99,0.99,0.99,-,0.01,0.94,2,1.01,10,291.00
030991,申豐元大0C購01,"100,000",1,"165,000",1.65,1.65,1.65,1.65,-,0.04,1.63,100,1.64,50,291.00
030992,致新元大0A購03,"561,000",22,"709,910",1.10,1.30,1.04,1.25,+,0.04,1.24,100,1.25,50,233.00
030993,明基材元大0A購01,"20,000",2,"6,800",0.34,0.34,0.34,0.34,-,0.02,0.38,100,0.39,50,26.10
030994,力山中信0A購01,0,0,0,--,--,--,--, ,0.00,0.07,30,0.17,30,0.00
030995,群創中信0B購08,"115,000",7,"37,960",0.18,0.35,0.18,0.35,+,0.17,0.22,5,0.34,10,0.00
030996,滬深2X國泰0C購01,"17,000",3,"22,360",1.28,1.33,1.28,1.33,-,0.02,1.28,499,1.30,30,26.50
030997,群創元富0A購08,"32,000",5,"20,790",0.50,0.99,0.49,0.99,+,0.48,0.60,30,1.25,21,21.00
030998,惠特元富0B購01,0,0,0,--,--,--,--, ,0.00,0.36,25,0.39,25,178.50
030999,台化麥證0A購01,"485,000",25,"405,940",0.83,0.86,0.82,0.86,-,0.11,0.85,10,0.87,10,0.00
031000,大成鋼麥證0B購02,"482,000",10,"1,206,330",2.39,2.60,2.39,2.43,-,0.05,2.40,10,2.41,10,0.00
031001,友達麥證0A購03,"12,000",2,"6,660",0.51,0.78,0.51,0.78,+,0.40,0.55,10,0.78,8,0.00
031002,彩晶麥證0B購02,0,0,0,--,--,--,--, ,0.00,2.52,10,--,0,0.00
031003,聯成永豐0A購02,0,0,0,--,--,--,--, ,0.00,0.68,10,0.78,10,26.30
031004,中石化永豐0A購01,"589,000",21,"287,260",0.48,0.51,0.40,0.51,-,0.01,0.50,100,0.51,29,13.45
031005,中興電永豐0A購01,0,0,0,--,--,--,--, ,0.00,0.25,499,0.26,100,51.30
031006,直得永豐0A購02,0,0,0,--,--,--,--, ,0.00,0.09,499,0.13,37,103.00
031007,旺宏永豐0A購01,"9,000",2,"1,680",0.17,0.22,0.17,0.22,+,0.02,0.17,131,0.22,32,44.70
031008,華邦電永豐0A購02,"1,266,000",46,"332,320",0.26,0.32,0.24,0.26, ,0.00,0.26,10,0.29,84,34.45
031009,致茂永豐0A購02,"32,000",3,"8,650",0.28,0.28,0.27,0.27,-,0.02,0.26,499,0.27,25,198.00
031010,億光永豐0A購01,"200,000",2,"75,000",0.37,0.38,0.37,0.38,+,0.01,0.39,100,0.40,25,50.50
031011,友達永豐0A購02,"282,000",14,"58,210",0.20,0.60,0.18,0.60,+,0.43,0.25,100,0.44,220,22.85
031012,京元電永豐0A購01,"366,000",14,"69,310",0.18,0.20,0.17,0.20,+,0.03,0.20,70,0.22,25,43.15
031013,萬海永豐0A購01,0,0,0,--,--,--,--, ,0.00,24.60,50,--,0,206.00
031014,聯陽永豐0A購02,"387,000",22,"136,620",0.31,0.38,0.30,0.37,+,0.01,0.36,100,0.37,12,125.50
031015,群創永豐0A購05,"419,000",8,"90,390",0.19,0.25,0.19,0.24,+,0.08,0.23,10,0.24,26,21.00
031016,瀚宇博永豐0A購01,"115,000",3,"10,500",0.10,0.10,0.09,0.09, ,0.00,0.09,50,0.10,115,46.05
031017,瑞祺永豐0A購02,0,0,0,--,--,--,--, ,0.00,0.03,50,0.12,100,121.50
031018,鈺齊永豐0A購01,"10,000",1,"3,600",0.36,0.36,0.36,0.36,+,0.01,0.36,100,0.37,37,118.50
031019,聯成凱基0A購01,0,0,0,--,--,--,--, ,0.00,1.03,499,1.13,10,26.30
031020,華紙凱基0A購01,0,0,0,--,--,--,--, ,0.00,5.60,100,6.10,10,27.50
031021,東鋼凱基0A購01,0,0,0,--,--,--,--, ,0.00,0.51,100,0.61,10,48.10
031022,旺宏凱基0A購04,"915,000",9,"325,900",0.35,0.36,0.34,0.36,+,0.05,0.35,100,0.36,100,44.70
031023,華邦電凱基0A購06,"10,000",1,"7,300",0.73,0.73,0.73,0.73,X,0.00,0.73,100,0.74,10,34.45
031024,華邦電凱基0A購07,0,0,0,--,--,--,--, ,0.00,0.99,100,1.09,10,34.45
031025,致茂凱基0B購01,"53,000",2,"59,840",1.13,1.13,1.12,1.12,-,0.07,1.11,100,1.13,30,198.00
031026,南亞科凱基14購01,"302,000",4,"58,410",0.18,0.22,0.18,0.22,+,0.02,0.18,649,0.22,28,78.90
031027,友達凱基0A購05,0,0,0,--,--,--,--, ,0.00,0.40,50,--,0,22.85
031028,友達凱基0B購05,"18,000",4,"5,940",0.30,0.35,0.30,0.35,+,0.08,0.31,6,0.48,6,22.85
031029,鼎元凱基0B購01,0,0,0,--,--,--,--, ,0.00,0.34,100,0.35,100,26.10
031030,美律凱基0A購02,0,0,0,--,--,--,--, ,0.00,0.21,499,0.22,100,107.00
031031,京元電凱基0A購01,"122,000",6,"82,460",0.67,0.70,0.67,0.70,+,0.06,0.74,100,0.75,30,43.15
031032,聯發科凱基0A購07,0,0,0,--,--,--,--, ,0.00,0.37,100,0.47,10,978.00
031033,聯發科凱基0B購05,0,0,0,--,--,--,--, ,0.00,0.50,100,0.60,10,978.00
