公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-3.15,10285516,0.95,9866871,9961312,-7.55,56723483,52439710
1102,亞泥,-,-5.99,7182969,-10.4,7536507,6752208,-22.76,43797688,33825643
1103,嘉泥,-,-2.7,171405,27.47,130823,166768,11.44,890444,992319
1104,環泥,-,12.51,403105,28.15,353927,453562,8.82,2381467,2591631
1108,幸福,-,0.96,357162,32.58,271998,360616,28.3,1735453,2226696
1109,信大,-,-13.53,706916,-7.11,658066,611254,-8.85,3572169,3255948
1110,東泥,-,22.57,106356,14.27,114080,130369,-1.42,781597,770491
1201,味全,-,1.67,1557936,-8.34,1728231,1584018,-12.12,9774563,8589703
1203,味王,-,11.04,467509,-9.7,574920,519138,-0.86,3077619,3051105
1210,大成,-,6.44,6059697,4.97,6144976,6450520,-0.78,37237915,36947103
1213,大飲,-,21.35,28920,34.47,26098,35095,-26.33,226004,166497
1215,卜蜂,-,-1.69,1803246,7.93,1642385,1772694,4.74,10185768,10669093
1216,統一,-,4.62,36909155,-0.62,38858021,38616245,-1.58,222268920,218736545
1217,愛之味,-,42.68,291246,-7.58,449669,415560,4.78,2052220,2150473
1218,泰山,-,11.95,655813,3.69,708068,734201,5.51,3719424,3924694
1219,福壽,-,7.03,922349,3.58,953087,987280,-1.56,6011629,5917265
1220,台榮,-,9.35,203469,-7.49,240545,222507,-4.84,1306487,1243188
1225,福懋油,-,-2.14,809957,-10.64,887020,792623,-2.57,5111461,4979882
1227,佳格,-,-7.39,2583115,10.55,2163646,2392058,9.07,13407620,14624069
1229,聯華,本公司本月營收成長主因收到現金股利，去年度於8月認列；年度營收成長主因108年自4月起納入子公司神通電腦及神通資訊營收所致。,85.97,685815,88.45,676790,1275443,46.29,3251505,4756896
1231,聯華食,-,1.36,675104,-1.24,692963,684343,-1.09,4149226,4103744
1232,大統益,-,12.42,1267534,6.62,1336446,1424986,-2.49,8230892,8025240
1233,天仁,-,-5.02,149497,-22.2,182526,141988,-18.52,1109274,903834
1234,黑松,-,5.01,733260,12.39,685161,770065,-1.88,4151227,4072986
1235,興泰,-,58.38,1915,-1.9,3092,3033,-17.33,13371,11053
1236,宏亞,-,21.2,66599,-17.03,97300,80724,-16.25,820454,687064
1702,南僑,-,-0.61,1440122,-12.12,1628688,1431284,-11.24,8882173,7883806
1737,臺鹽,-,11.36,249085,20.71,229791,277394,8.62,1394969,1515307
1301,台塑,-,9.81,13455462,-19.48,18352747,14776562,-22.42,109581363,85003282
1303,南亞,-,7.08,19418507,-5.43,21989854,20794995,-11.61,142771871,126182089
1304,台聚,-,16.2,3401050,-12.98,4541760,3952131,-20.64,27994846,22214911
1305,華夏,-,52.81,620635,-31.59,1386382,948423,-22.47,7582316,5878179
1307,三芳,-,16.97,418689,-25.8,660096,489749,-17.28,4991350,4128512
1308,亞聚,-,-4.61,473355,-13.37,521248,451529,-21.29,3395190,2672129
1309,台達化,-,12.23,1137515,-5.31,1348375,1276711,-28.15,9081821,6524556
1310,台苯,-,13.33,604350,-37.77,1100791,684951,-42.73,6249241,3578547
1312,國喬,-,13.92,1169189,-24.17,1756687,1332033,-31.63,10547276,7210570
1313,聯成,-,2.17,4110055,-15.78,4986963,4199654,-32.6,31298968,21094129
1314,中石化,受疫情影響致終端需求萎縮,-18.81,1499660,-58.97,2967847,1217571,-42.89,16435257,9385146
1315,達新,-,18.67,159245,-25.4,253354,188984,-10.14,1118231,1004835
1321,大洋,-,11.88,363536,6.98,380211,406756,-2.78,2240161,2177719
1323,永裕,-,4.22,286234,3.82,287342,298326,-4.97,1749400,1662306
1324,地球,-,7.56,80291,-9.09,95012,86367,-8.72,583878,532946
1325,恆大,受新冠肺炎影響致營收增加,10.37,439228,512.95,79094,484807,297.41,419831,1668488
1326,台化,-,10.16,18011412,-23.01,25775641,19842166,-30.5,173298891,120431899
4306,炎洲,-,10.1,1009828,-13.66,1287874,1111835,-18.75,7943222,6453284
1402,遠東新,-,6.23,16015710,-22.63,21990028,17013520,-21.33,128623998,101180409
1409,新纖,-,2.42,2372030,-19.53,3019383,2429664,-26.32,20119850,14823041
1410,南染,-,-27.05,38867,5.08,26979,28351,-0.31,200325,199698
1413,宏洲,疫情影響，下游需求急速萎縮,12.25,101981,-33.65,172545,114480,-54.86,1690247,762906
1414,東和,-,9.6,32832,-42.25,62324,35986,-22.96,428129,329805
1417,嘉裕,-,17.64,79310,-8.59,102072,93304,-28.0,699834,503845
1418,東華,因客戶受新冠狀肺炎疫情之影響調降開工率及主原料丙烯腈價格持續下跌，造成亞克力纖維市場需求停滯。,37.09,8505,-21.39,14833,11660,-61.26,141959,54991
1419,新紡,-,-4.38,137126,-5.19,138297,131116,14.66,869248,996739
1423,利華,各地陸續解封後6月份營收衰減雖較前期有所改善，然近來全球冠狀肺炎疫情似再度升溫，也對未來的市場需求帶來不確定性。,64.59,18695,-18.9,37946,30771,-53.63,264487,122631
1434,福懋,-,0.25,2025420,-32.94,3028509,2030628,-23.26,19588918,15032010
1439,中和,雖主要客戶解除緊急狀態，但疫情並未逐步趨緩，造成需求疲弱，營收較去年同期減少。,4.56,8281,-53.06,18448,8659,-34.3,106288,69828
1440,南紡,-,15.27,1173545,-27.27,1860018,1352756,-25.98,11619974,8600574
1441,大東,-,-22.8,112609,-10.58,97221,86933,5.57,734748,775737
1444,力麗,-,27.59,463133,-33.26,885585,590953,-34.29,6257649,4111357
1445,大宇,-,-3.01,56628,-36.75,86828,54918,-33.29,723237,482425
1446,宏和,-,41.45,25015,-27.81,49019,35386,5.72,225447,238360
1447,力鵬,-,8.41,674463,-32.67,1086075,731202,-36.2,7757925,4948979
1449,佳和,-,-19.37,227360,-2.98,188952,183311,-21.74,1171556,916807
1451,年興,-,107.28,307953,-14.02,742499,638348,-31.35,4312557,2960559
1452,宏益,受新型冠狀病毒疫情影響，全球市場急凍，致本月及本年度累計營業收入淨額較去年同期大幅減少。,30.87,50251,-56.73,151994,65767,-49.46,1025100,517994
1454,台富,因為新冠肺炎疫情影響，全球需求銳減,-22.57,79555,-59.47,151981,61594,-35.76,983923,631986
1455,集盛,-,26.98,396217,-33.28,754142,503149,-47.64,6548335,3428368
1457,宜進,-,12.94,150806,-46.43,318007,170335,-48.37,2657745,1372032
1459,聯發,受新型冠狀病毒疫情影響，致本期營業收入淨額較去年同期大幅減少。,10.34,77458,-69.02,275940,85472,-53.84,1751194,808239
1460,宏遠,-,20.29,369740,-28.91,625698,444761,-28.68,4258762,3036980
1463,強盛,受疫情影響，致訂單減少,-22.26,18763,-60.33,36770,14585,-5.6,281920,266130
1464,得力,-,7.19,451265,-39.91,805117,483742,-16.82,4801858,3994101
