公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
3530,晶相光,因監控系列產品營收較去年同期大幅成長所致。,-8.92,389138,96.26,180575,354402,96.26,180575,354402
3532,台勝科,-,3.29,977908,10.73,912202,1010103,10.73,912202,1010103
3536,誠創,"因本年整流器營收增加,致營收較去年成長",-8.55,59165,74.04,31086,54103,74.04,31086,54103
3545,敦泰,IDC產品出貨量顯著提升,-10.67,1520548,60.65,845388,1358165,60.65,845388,1358165
3583,辛耘,-,-35.73,544084,48.32,235752,349679,48.32,235752,349679
3588,通嘉,新產品逐步發酵,5.81,143352,58.91,95450,151684,58.91,95450,151684
3686,達能,-,1.86,9979,16.38,8734,10165,16.38,8734,10165
3711,日月光投控,-,-18.78,50298189,30.34,31337455,40847914,30.34,31337455,40847914
4919,新唐,本公司109/09/01完成對日本Panasonic Corporation半導體相關事業之併購，自完成日起該事業併入本公司合併財務報告,-6.29,3422498,358.11,700026,3206926,358.11,700026,3206926
4952,凌通,受惠於中國經濟復甦及耳溫槍、視訊相關產品需求成長，加上去年1月為農曆春節，基期較低。,-7.81,260950,100.07,120240,240567,100.07,120240,240567
4961,天鈺,本月營收較去年同期增加主係顯示器驅動IC出貨量增加所致,5.85,1315347,102.21,688564,1392390,102.21,688564,1392390
4967,十銓,"巿場需求,銷售增加所致",24.19,551477,55.87,439406,684921,55.87,439406,684921
4968,立積,因客戶需求增加及產能提升,6.17,554547,122.03,265178,588780,122.03,265178,588780
5269,祥碩,本年營收較去年增加主係因客戶需求量增加所致。,1.48,655121,137.59,279824,664854,137.59,279824,664854
5285,界霖,客戶訂單增加,7.0,471337,58.4,318399,504363,58.4,318399,504363
5471,松翰,冠肺炎疫情全球延燒，國內外因應防疫所需，對本公司醫療量測及影像晶片需求強勁，帶動營收顯著成長。,9.56,464157,198.0,170651,508557,198.0,170651,508557
6202,盛群,去年同期工作天數較少,-1.91,500936,82.7,268934,491349,82.7,268934,491349
6239,力成,-,-1.64,6195206,-3.89,6340587,6093345,-3.89,6340587,6093345
6243,迅杰,客戶端需求強勁，且為了因應客戶春節期間產線所需而提前拉貨，故公司一月份整體營收呈現成長。,-1.72,60507,65.87,35850,59466,65.87,35850,59466
6257,矽格,-,-1.04,1210277,40.94,849748,1197663,40.94,849748,1197663
6271,同欣電,投資之子公司營收併入,-8.63,1107197,60.29,631108,1011605,60.29,631108,1011605
6515,穎崴,-,14.79,173428,6.79,186415,199088,6.79,186415,199088
6531,愛普,去年同期申報之合併營收已排除停業單位營收,-8.27,413123,36.87,276827,378920,36.87,276827,378920
6533,晶心科,因本期權利金收入提升，故營收較去年同期增加。,-65.6,126948,61.77,26991,43665,61.77,26991,43665
6552,易華電,-,14.09,203247,42.25,163011,231885,42.25,163011,231885
6756,威鋒電子,-,39.35,189273,43.25,184116,263761,43.25,184116,263761
8016,矽創,-,-3.58,1471326,34.7,1053042,1418533,34.7,1053042,1418533
8028,昇陽半導體,-,4.29,217216,20.56,187911,226546,20.56,187911,226546
8081,致新,因客戶需求增加所致,19.16,678692,68.02,481333,808781,68.02,481333,808781
8110,華東,-,-6.62,497503,-10.8,520804,464553,-10.8,520804,464553
8131,福懋科,-,8.3,790856,-2.03,874278,856514,-2.03,874278,856514
8150,南茂,-,-1.24,2190543,24.87,1732334,2163311,24.87,1732334,2163311
8261,富鼎,本月較去年同期增加99.14%，係因受惠終端客戶需求強勁使營收大幅增加,10.63,335066,99.14,186154,370715,99.14,186154,370715
8271,宇瞻,-,11.34,591136,12.88,583060,658190,12.88,583060,658190
2301,光寶科,-,4.74,13439321,24.41,11314389,14076995,24.41,11314389,14076995
2305,全友,去年同期適逢春節假期，工作天比較少，故去年同期營收較少,-16.04,69545,88.96,30898,58387,88.96,30898,58387
2324,仁寶,-,-20.28,114381030,47.61,61766224,91177558,47.61,61766224,91177558
2331,精英,-,-10.02,2853615,30.47,1967745,2567501,30.47,1967745,2567501
2352,佳世達,-,-8.72,19222848,28.51,13652452,17545000,28.51,13652452,17545000
2353,宏��,由於去年基期較低，再加上今年市場需求增加，故本月營收較去年同期成長,-17.16,28363840,73.35,13553085,23495092,73.35,13553085,23495092
2356,英業達,-,-8.88,43223749,34.04,29378879,39382095,34.04,29378879,39382095
2357,華碩,主要係本月(年)受惠於後疫情時代下對筆電的需求大幅增加，及本公司執行品牌金三角策略，推動主要產品市占率增加所致。,-14.53,42970648,58.28,23201678,36724581,58.28,23201678,36724581
2362,藍天,"受惠宅經濟,NB需求持續增加",27.65,1531334,61.38,1211283,1954836,61.38,1211283,1954836
2364,倫飛,-,-29.74,85973,11.01,54404,60397,11.01,54404,60397
2365,昆盈,-,19.48,146294,14.28,152946,174796,14.28,152946,174796
2376,技嘉,"本月營收較去年同期增加,主要係板卡及網通產品銷售成長所致。",55.15,6693998,66.05,6254698,10386245,66.05,6254698,10386245
2377,微星,營收增加達69.11%，係市場需求暢旺所致,36.68,12454321,69.11,10065900,17022930,69.11,10065900,17022930
2380,虹光,海外及中國地區銷售增加,-14.51,266767,140.4,94856,228040,140.4,94856,228040
2382,廣達,-,-14.08,109820328,49.86,62958366,94354473,49.86,62958366,94354473
2387,精元,因疫情居家辦公及客戶NB新機型導入出貨量增加，連帶鍵盤出貨量增加所致,-15.63,2396402,190.28,696417,2021627,190.28,696417,2021627
2395,研華,-,-10.22,5024404,13.78,3964219,4510810,13.78,3964219,4510810
2397,友通,-,0.62,739807,-0.08,745070,744404,-0.08,745070,744404
2399,映泰,-,31.2,161447,32.3,160105,211826,32.3,160105,211826
2405,浩鑫,-,-33.18,190855,-27.37,175589,127524,-27.37,175589,127524
2417,圓剛,本月較去年同期增加主要係因出貨量增加所致。,-11.26,517649,149.15,184349,459311,149.15,184349,459311
2424,隴華,本月增加因本月出貨天線3套，去年同期出貨2套。,9.98,2023,57.02,1417,2225,57.02,1417,2225
2425,承啟,本月營業收入較同期增加主係同期受農曆春節假期影響，故營業收入較本期減少,-39.03,684549,140.75,173330,417306,140.75,173330,417306
2442,新美齊,主要係109年12月對凱銳控股(股)公司及凱銳光電(股)公司等重要子公司喪失控制力，故自110年1月起不納入合併個體,-60.05,504004,-30.94,291524,201314,-30.94,291524,201314
2465,麗臺,較去年同期成長173.79%；主系109年1月有農曆春節假期及本月大陸市場之人工智能行業應用對 RTX QUADRO和Geforce的需求增加。,-11.0,673631,173.79,218958,599492,173.79,218958,599492
3002,歐格,-,-8.98,58777,-8.91,58727,53494,-8.91,58727,53494
3005,神基,-,-1.88,2631395,30.47,1978770,2581834,30.47,1978770,2581834
3013,晟銘電,-,-19.04,536042,1.83,426141,433978,1.83,426141,433978
3017,奇鋐,-,0.51,3533740,12.47,3157840,3551772,12.47,3157840,3551772
3022,威強電,-,-28.29,690285,29.32,382736,494980,29.32,382736,494980
3046,建��,-,-40.79,212959,1.01,124829,126091,1.01,124829,126091
3057,喬鼎,-,-6.63,74309,-27.31,95459,69382,-27.31,95459,69382
3060,銘異,-,5.38,312091,-12.38,375375,328884,-12.38,375375,328884
3231,緯創,-,-20.34,73527923,-3.17,60489120,58569401,-3.17,60489120,58569401
3416,融程電,出貨增加,8.89,180029,93.7,101213,196051,93.7,101213,196051
3494,誠研,因受新型冠狀病毒疫情影響，致使營收波動。,-35.26,49565,-52.3,67272,32088,-52.3,67272,32088
3515,華擎,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異",24.22,1328131,16.95,1410743,1649931,16.95,1410743,1649931
3701,大眾控,主要客戶訂單增加,-12.86,926805,76.91,456456,807556,76.91,456456,807556
3706,神達,-,-3.08,3626242,13.38,3099517,3514392,13.38,3099517,3514392
3712,永崴投控,-,-25.17,895236,17.8,568594,669845,17.8,568594,669845
4916,事欣科,因對恩德(1528)喪失控制力，故未予納入合併營收，致單月及累計營收變動逾50%。,-16.86,136786,-75.7,468063,113713,-75.7,468063,113713
4938,和碩,無,-41.15,140051496,-13.83,95653396,82418580,-13.83,95653396,82418580
5258,虹堡,-,-45.43,492091,-18.63,330018,268534,-18.63,330018,268534
6117,迎廣,-,31.19,153979,16.17,173889,202010,16.17,173889,202010
6128,上福,-,-2.74,371884,-22.22,465036,361663,-22.22,465036,361663
6166,凌華,-,-45.39,1081177,-5.44,624381,590372,-5.44,624381,590372
6172,互億,-,24.89,36125,44.48,31229,45120,44.48,31229,45120
6206,飛捷,-,19.06,290373,-25.21,462320,345734,-25.21,462320,345734
6230,尼得科超眾,-,-13.96,964700,38.59,598892,830022,38.59,598892,830022
6235,華孚,-,-5.74,255388,39.75,172232,240709,39.75,172232,240709
6277,宏正,-,-16.11,478770,6.04,378730,401629,6.04,378730,401629
6414,樺漢,-,-40.74,10252085,-0.94,6132514,6074373,-0.94,6132514,6074373
6579,研揚,-,-6.48,535472,8.16,462940,500734,8.16,462940,500734
6669,緯穎,-,-19.85,15378815,-0.78,12421637,12324604,-0.78,12421637,12324604
8114,振樺電,-,-30.5,888312,7.14,576175,617333,7.14,576175,617333
8163,達方,併購新事業部及疫情帶動遠距會議/教學等對鍵盤需求所致,-3.68,2160714,50.8,1379971,2081055,50.8,1379971,2081055
8210,勤誠,-,-16.91,694569,24.14,464809,577048,24.14,464809,577048
9912,偉聯,-,-26.49,53538,18.74,33140,39353,18.74,33140,39353
2323,中環,-,-7.58,881543,-14.81,956350,814652,-14.81,956350,814652
2340,光磊,訂單需求增加,58.62,383798,50.49,404554,608816,50.49,404554,608816
2349,錸德,-,6.86,576223,19.93,513459,615793,19.93,513459,615793
2374,佳能,-,-6.29,253918,0.35,237097,237942,0.35,237097,237942
2393,億光,-,2.68,1975313,26.21,1607148,2028397,26.21,1607148,2028397
2406,國碩,-,-2.71,891903,20.36,720880,867672,20.36,720880,867672
2409,友達,本期營收較去年同期增加主要係市場價格上漲及出貨量增加所致。,-7.75,28857909,71.84,15491047,26620298,71.84,15491047,26620298
2426,鼎元,客戶訂單較去年同期增加，致使公司本月營收優於去年同期。,12.12,226629,52.02,167147,254109,52.02,167147,254109
2429,銘旺科,主係光學面板產品需求增加,-1.49,96250,78.24,53189,94808,78.24,53189,94808
2438,翔耀,-,27.04,26966,47.75,23185,34258,47.75,23185,34258
2466,冠西電,主要係本期光電元件及燈飾營收較去年同期成長,-17.33,95273,53.84,51196,78760,53.84,51196,78760
2486,一詮,本公司自109年3月起因新產品應用持續開發及出貨，使營業收入已逐月成長。及另因去年一月春節假期上班天數減少所致。,9.25,429472,63.48,287007,469204,63.48,287007,469204
2489,瑞軒,-,-11.07,1700090,28.5,1176427,1511763,28.5,1176427,1511763
2491,吉祥全,本期認列金融資產處分利益及透過損益按公允價值衡量之金融資產未實現評價調整,-65.51,127379,58.01,27795,43921,58.01,27795,43921
3008,大立光,-,-6.18,4910911,12.34,4101217,4607376,12.34,4101217,4607376
3019,亞光,本月營收較去年同期增加，主要係因客戶需求提升及去年同期適逢農曆新年假期，出貨天數減少所致。,0.97,1546445,54.93,1007863,1561488,54.93,1007863,1561488
3024,憶聲,海外外銷增加營收,121.86,69582,59.79,96609,154378,59.79,96609,154378
3031,佰鴻,去年1月份因農曆新年年假，工作天數較少，造成去年1月營收偏低。,-5.86,135808,72.9,73938,127846,72.9,73938,127846
3038,全台,-,1.88,311850,7.89,294475,317738,7.89,294475,317738
3049,和鑫,-,26.28,269825,3.25,329996,340738,3.25,329996,340738
3050,鈺德,-,17.54,69811,7.29,76483,82059,7.29,76483,82059
3051,力特,因面板廠農曆年提前拉貨,8.66,249252,50.0,180558,270850,50.0,180558,270850
3059,華晶科,-,-13.2,712028,46.57,421600,617977,46.57,421600,617977
3149,正達,2021年1月營收較去年同期增加85.75%原因主係新冠肺炎疫情影響，導致去年同期營收銳減。,29.23,188272,85.74,130994,243320,85.74,130994,243320
3356,奇偶,-,-12.98,90020,-21.39,99649,78329,-21.39,99649,78329
3383,新世紀,-,7.61,46785,-11.11,56647,50348,-11.11,56647,50348
3406,玉晶光,-,-22.91,1463391,14.94,981350,1128034,14.94,981350,1128034
3437,榮創,客戶需求,4.29,507053,61.86,326722,528846,61.86,326722,528846
3454,晶睿,-,-10.88,462701,-16.29,492617,412355,-16.29,492617,412355
3481,群創,本期營收較去年同期增加主要係市場價格上漲及出貨量增加所致,1.86,27007865,65.91,16581800,27511858,65.91,16581800,27511858
3504,揚明光,-,-19.84,358163,18.93,241365,287077,18.93,241365,287077
3535,晶彩科,本公司以銷售機台為主，110年1月出售機台較去年同期多，且110年累計出售機台較去年同期增加，此為產業特性，尚屬正常。,122.32,85630,174.31,69403,190380,174.31,69403,190380
3543,州巧,-,0.95,310560,38.66,226114,313540,38.66,226114,313540
3563,牧德,-,11.55,184805,-2.28,210983,206154,-2.28,210983,206154
3576,聯合再生,-,-5.29,901317,23.69,690086,853606,23.69,690086,853606
3591,艾笛森,本月營收較去年同期增加，主要係因客戶需求提升及去年同期適逢農曆新年假期，出貨天數減少所致。,47.64,138595,57.12,130232,204631,57.12,130232,204631
3622,洋華,本月增加原因：係光電非消費性產品出貨增加所致。,-23.86,109890,63.88,51050,83661,63.88,51050,83661
3714,富采,富采於110/1/6公司始設立,,0,,0,2314387,,0,2314387
4934,太極,-,-25.85,135879,-41.43,172021,100747,-41.43,172021,100747
4942,嘉彰,-,2.26,698065,45.22,491571,713873,45.22,491571,713873
4956,光鋐,係因去年受疫情影響所致,-0.31,141107,80.62,77878,140667,80.62,77878,140667
