證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
00692,富邦公司治理,"2,250,953","1,738","80,250,682",35.67,35.70,35.53,35.67,+,0.03,35.66,1,35.67,51,0.00
00693U,期街口S&P黃豆,"826,762",392,"18,402,929",22.32,22.36,22.17,22.17,-,0.33,22.16,15,22.17,22,0.00
00700,富邦恒生國企,"119,559",41,"2,239,403",18.91,18.91,18.67,18.67,-,0.14,18.63,2,18.67,25,0.00
00701,國泰股利精選30,"573,194",496,"13,778,575",24.00,24.07,23.98,24.07,+,0.05,24.07,9,24.08,16,0.00
00702,國泰標普低波高息,"106,311",12,"2,216,708",20.87,20.87,20.85,20.85,+,0.01,20.81,50,20.87,100,0.00
00703,台新MSCI中國,"74,000",23,"1,788,380",24.24,24.24,24.11,24.11,-,0.17,24.10,5,24.11,35,0.00
00706L,期元大S&P日圓正2,"18,000",5,"286,740",15.90,15.94,15.90,15.94,+,0.02,15.93,3,15.94,44,0.00
00707R,期元大S&P日圓反1,0,0,0,--,--,--,--, ,0.00,19.78,27,19.83,21,0.00
00708L,期元大S&P黃金正2,"1,017,391",331,"28,695,333",28.18,28.33,28.13,28.33,-,0.14,28.33,2,28.34,200,0.00
00709,富邦歐洲,"158,629",34,"3,848,100",24.30,24.30,24.22,24.27,-,0.09,24.27,1,24.28,66,0.00
00710B,FH彭博高收益債,"435,926",191,"8,005,613",18.38,18.39,18.36,18.37,-,0.01,18.36,65,18.37,134,0.00
00711B,FH彭博新興債,"131,250",33,"2,640,719",20.12,20.13,20.11,20.13,-,0.03,20.11,6,20.13,4,0.00
00712,FH富時不動產,"6,433,083","3,524","94,934,531",14.80,14.80,14.74,14.76,-,0.14,14.75,64,14.76,53,0.00
00713,元大台灣高息低波,"70,581",66,"3,025,565",42.87,43.00,42.60,42.65,-,0.13,42.70,1,42.79,6,0.00
00714,群益道瓊美國地產,"618,053",24,"13,603,438",22.00,22.03,22.00,22.00,-,0.26,22.00,11,22.02,50,0.00
00715L,期街口布蘭特正2,"45,141,387","4,299","393,675,018",8.65,8.77,8.65,8.74,+,0.32,8.74,819,8.75,399,0.00
00717,富邦美國特別股,"967,685",375,"16,290,728",16.81,16.85,16.81,16.85,+,0.05,16.84,4,16.85,239,0.00
00728,第一金工業30,"266,854",207,"7,594,940",28.48,28.50,28.39,28.39,-,0.09,28.39,3,28.40,52,0.00
00730,富邦臺灣優質高息,"486,679",419,"10,436,556",21.42,21.50,21.40,21.44,+,0.02,21.40,5,21.44,16,0.00
00731,FH富時高息低波,"259,195",20,"14,891,531",57.30,57.60,57.30,57.60,+,0.15,57.45,16,57.60,2,0.00
00732,國泰RMB短期報酬,"102,000",4,"4,036,110",39.45,39.66,39.45,39.57,+,0.12,39.42,28,39.50,1,0.00
00733,富邦臺灣中小,"407,500",330,"17,869,453",44.00,44.10,43.34,43.50,-,0.50,43.50,3,43.57,23,0.00
00735,國泰臺韓科技,"101,511",21,"3,468,555",34.25,34.25,34.12,34.17,+,0.16,34.15,1,34.17,2,0.00
00736,國泰新興市場,"160,030",15,"3,790,603",23.87,23.87,23.62,23.62,-,0.21,23.61,20,23.70,20,0.00
00737,國泰AI+Robo,"119,563",89,"3,919,666",32.80,32.90,32.73,32.75,-,0.21,32.75,2,32.77,30,0.00
00738U,期元大道瓊白銀,"727,532",163,"20,817,209",28.55,28.72,28.52,28.65,+,0.10,28.65,28,28.67,30,0.00
00739,元大MSCI A股,"477,016",144,"13,567,841",28.68,28.68,28.27,28.27,-,0.48,28.24,6,28.27,37,0.00
00742,新光內需收益,"58,000",10,"1,310,120",22.64,22.64,22.58,22.64,+,0.06,22.57,8,22.64,4,0.00
00743,國泰中國A150,"129,577",19,"3,799,961",29.60,29.60,29.17,29.17,-,0.45,29.06,58,29.17,14,0.00
00752,中信中國50,"1,164,237",799,"33,289,935",28.76,28.76,28.53,28.53,-,0.18,28.53,6,28.54,75,0.00
00753L,中信中國50正2,"542,000",239,"19,502,310",36.28,36.30,35.79,35.79,-,0.80,35.78,2,35.79,39,0.00
00757,統一FANG+,"719,521",476,"33,316,494",46.40,46.40,46.27,46.32,-,0.51,46.31,10,46.32,26,0.00
00762,元大全球AI,"69,779",51,"2,752,465",39.49,39.49,39.42,39.45,-,0.19,39.42,3,39.45,62,0.00
00763U,期街口道瓊銅,"1,007,000",327,"28,487,373",28.39,28.41,28.08,28.15,-,0.56,28.14,1,28.15,4,0.00
00770,國泰北美科技,"112,083",17,"3,970,122",35.44,35.45,35.42,35.44,-,0.20,35.42,1,35.44,49,0.00
00771,元大US高息特別股,"41,448",42,"792,291",19.07,19.15,19.07,19.13,+,0.06,19.09,35,19.13,34,0.00
00774B,新光中國政金綠債,"3,000",3,"117,000",38.95,39.10,38.95,39.10,+,0.21,38.77,3,39.17,3,0.00
00774C,新光中政金綠債+R,0,0,0,--,--,--,--, ,0.00,8.97,5,9.16,2,0.00
00775B,新光投等債15+,"4,000",4,"165,110",41.38,41.39,41.17,41.39,+,0.14,41.17,100,41.39,5,0.00
00783,富邦中証500,"448,072",45,"9,983,853",22.55,22.58,22.14,22.14,-,0.41,22.14,32,22.19,50,0.00
008201,BP上證50,400,4,"49,950",124.95,124.95,124.80,124.80,X,0.00,121.10,1,127.90,1,0.00
00830,國泰費城半導體,"563,987",256,"15,872,901",28.19,28.19,28.12,28.15,-,0.25,28.13,54,28.15,50,0.00
00850,元大臺灣ESG永續,"1,155,235","1,236","39,905,624",34.58,34.60,34.44,34.55,-,0.02,34.53,7,34.55,19,0.00
00851,台新全球AI,"9,000",7,"279,230",31.04,31.05,31.02,31.05,-,0.29,31.02,25,31.04,21,0.00
00852L,國泰美國道瓊正2,"607,000",75,"12,395,060",20.51,20.51,20.40,20.41,-,0.21,20.41,2,20.42,161,0.00
00861,元大全球未來通訊,"357,319",259,"10,345,078",28.98,29.00,28.93,28.97,-,0.10,28.92,83,28.97,83,0.00
00865B,國泰US短期公債,"114,000",7,"4,147,300",36.40,36.40,36.27,36.39,-,0.01,36.28,72,36.40,7,0.00
00875,國泰網路資安,"569,071",212,"18,162,405",32.05,32.05,31.83,31.85,-,0.26,31.83,47,31.85,15,0.00
00876,元大未來關鍵科技,"867,915",446,"25,169,639",28.95,29.05,28.95,29.00,-,0.13,29.00,50,29.01,68,0.00
00878,國泰永續高股息,"5,176,598","3,278","94,602,235",18.26,18.32,18.24,18.28,+,0.02,18.27,7,18.28,15,0.00
00881,國泰台灣5G+,"14,720,303","6,855","261,569,955",17.80,17.81,17.70,17.74,-,0.08,17.74,1,17.75,278,0.00
00882,中信中國高股息,"10,162,811","6,186","161,229,733",15.89,15.89,15.84,15.87,-,0.07,15.87,102,15.88,194,0.00
00885,富邦越南,"13,517,801","4,918","217,890,951",16.15,16.23,16.01,16.01,-,0.11,16.01,474,16.02,102,0.00
00891,中信關鍵半導體,"12,616,765","5,596","196,773,073",15.68,15.69,15.50,15.56,-,0.10,15.55,202,15.56,271,0.00
00892,富邦台灣半導體,"18,549,474","7,617","285,403,753",15.47,15.48,15.31,15.36,-,0.11,15.35,253,15.37,447,0.00
01001T,土銀富邦R1,"85,000",12,"1,501,290",17.68,17.68,17.65,17.65, ,0.00,17.65,2,17.68,18,0.00
01002T,土銀國泰R1,"88,000",13,"1,555,050",17.68,17.68,17.65,17.66,+,0.01,17.65,7,17.79,1,0.00
01003T,兆豐新光R1,"275,000",19,"5,254,500",19.01,19.14,19.01,19.14,+,0.02,19.06,2,19.65,1,0.00
01004T,土銀富邦R2,0,0,0,--,--,--,--, ,0.00,16.00,2,16.20,1,0.00
01007T,兆豐國泰R2,"16,000",14,"313,500",19.65,19.65,19.57,19.57,-,0.05,19.57,10,19.59,31,0.00
01009T,王道圓滿R1,"42,000",13,"383,440",9.13,9.13,9.12,9.13, ,0.00,9.12,11,9.38,10,0.00
01010T,京城樂富R1,"22,000",13,"242,190",11.48,11.48,10.85,10.90,+,0.05,10.85,2,10.90,8,0.00
020000,富邦特選蘋果N,"25,000",5,"190,300",7.58,7.64,7.58,7.64,+,0.03,7.62,10,7.63,10,0.00
020002,元富新中國N,"4,000",2,"77,760",19.47,19.47,19.35,19.35,X,0.00,19.31,499,19.33,355,0.00
020004,兆豐電菁英30N,0,0,0,--,--,--,--, ,0.00,33.19,499,33.20,499,0.00
020006,永昌中小300N,0,0,0,--,--,--,--, ,0.00,32.60,100,32.61,100,0.00
020007,凱基臺灣500N,"1,000",1,"33,700",33.70,33.70,33.70,33.70,+,0.06,33.66,215,33.71,222,0.00
020008,元大特股高息N,"18,000",5,"216,190",12.00,12.02,11.99,12.02,+,0.02,12.01,100,12.02,100,0.00
020011,統一微波高息20N,"13,000",6,"82,430",6.32,6.36,6.32,6.36,+,0.03,6.35,493,6.36,280,0.00
020012,富邦行動通訊N,0,0,0,--,--,--,--, ,0.00,6.21,100,6.22,100,0.00
020015,統一MSCI美低波N,0,0,0,--,--,--,--, ,0.00,14.56,494,14.58,281,0.00
020016,統一MSCI美科技N,"1,000",1,"18,650",18.65,18.65,18.65,18.65,-,0.15,18.62,494,18.64,288,0.00
020018,統一價值成長30N,"106,000",30,"1,825,920",17.27,17.35,17.00,17.02,+,0.02,17.00,496,17.02,286,0.00
020019,統一特選台灣5GN,"62,000",22,"872,710",14.10,14.11,14.05,14.06,-,0.09,14.06,498,14.08,287,0.00
02001L,富邦蘋果正二N,0,0,0,--,--,--,--, ,0.00,12.47,10,12.50,10,0.00
02001R,富邦蘋果反一N,0,0,0,--,--,--,--, ,0.00,2.86,499,2.87,499,0.00
020020,元大台股領航N,"1,393,000",388,"10,230,170",7.34,7.37,7.30,7.34,+,0.01,7.34,100,7.35,121,0.00
020022,元大電動車N,"6,296,000","1,257","35,763,490",5.74,5.75,5.65,5.68,-,0.06,5.67,181,5.68,57,0.00
030001,萬海中信0B購01,"43,000",8,"420,950",9.75,9.80,9.75,9.75,+,1.35,9.45,10,--,0,0.00
030002,晶技中信0A購01,"1,578,000",61,"696,850",0.45,0.47,0.41,0.43,-,0.07,0.40,49,0.42,30,0.00
030003,景碩中信0B購01,"779,000",49,"288,360",0.37,0.41,0.35,0.35,-,0.04,0.33,35,0.35,10,0.00
030004,群創中信0C購01,"525,000",29,"253,770",0.43,0.53,0.43,0.53,-,0.02,0.53,5,0.54,50,0.00
030005,新唐中信0A購01,"37,000",12,"41,530",1.27,1.27,1.08,1.20, ,0.00,1.00,2,1.19,18,0.00
030006,新唐中信0B購01,"856,000",28,"849,600",1.00,1.05,0.91,0.93,-,0.10,0.92,30,0.93,20,0.00
030007,東鋼第一14購01,"4,000",3,"5,190",1.30,1.30,1.29,1.29,X,0.00,1.01,1,--,0,48.50
030008,長興元富0B購01,"158,000",10,"245,070",1.62,1.62,1.54,1.56,-,0.03,1.53,25,1.55,25,39.90
030009,長興元富11購01,0,0,0,--,--,--,--, ,0.00,1.65,25,1.75,10,39.90
030010,聯發科元富0A購09,0,0,0,--,--,--,--, ,0.00,3.33,5,4.88,10,985.00
030011,聯發科元富11購06,"161,000",9,"68,070",0.44,0.44,0.42,0.42,-,0.03,0.42,125,0.45,5,985.00
030012,聯發科元富11購07,0,0,0,--,--,--,--, ,0.00,0.72,100,0.81,2,985.00
030013,聯發科元富11購08,0,0,0,--,--,--,--, ,0.00,0.58,16,0.67,35,985.00
030014,玉晶光元富11購02,"10,000",1,"9,900",0.99,0.99,0.99,0.99,-,0.07,0.94,50,0.95,50,506.00
030015,聯鈞元富11購01,0,0,0,--,--,--,--, ,0.00,0.48,50,0.49,50,58.10
030016,松翰元富0C購01,0,0,0,--,--,--,--, ,0.00,0.47,25,0.48,25,94.30
030017,彩晶元富0A購01,0,0,0,--,--,--,--, ,0.00,--,0,--,0,20.15
030018,彩晶元富0B購01,0,0,0,--,--,--,--, ,0.00,--,0,--,0,20.15
030019,南帝康和0A購01,"8,000",3,"29,520",3.69,3.69,3.69,3.69,+,0.25,2.76,10,2.85,10,138.00
030020,日勝生康和0A購01,0,0,0,--,--,--,--, ,0.00,0.58,10,0.60,10,11.00
030021,台達電日盛0C購01,"7,000",2,"4,750",0.67,0.68,0.67,0.68,+,0.01,0.69,25,0.79,10,303.00
030022,華邦電日盛0B購01,"21,000",4,"23,750",1.25,1.25,1.11,1.11,-,0.12,1.11,10,1.15,10,33.65
030023,義隆日盛0B購01,0,0,0,--,--,--,--, ,0.00,1.47,25,1.57,25,209.50
030024,群創日盛0B購01,"85,000",20,"145,780",1.75,1.85,1.62,1.62,-,0.41,1.62,24,2.10,4,19.10
030025,台灣50台新0A購01,"5,000",1,"4,050",0.81,0.81,0.81,0.81,-,0.02,0.81,10,0.82,10,0.00
030026,上銀統一0C購01,"328,000",4,"190,240",0.58,0.58,0.58,0.58,+,0.01,0.58,208,0.59,108,386.00
030027,晶技統一0C購01,"43,000",2,"39,130",0.91,0.91,0.91,0.91,+,0.01,0.90,2,0.91,10,114.00
030028,聯鈞統一0B購01,0,0,0,--,--,--,--, ,0.00,0.32,10,0.42,10,58.10
030029,新唐統一0C購01,0,0,0,--,--,--,--, ,0.00,2.45,10,3.50,5,79.90
030030,立積統一13購01,"237,000",4,"69,070",0.31,0.31,0.29,0.29,-,0.07,0.28,11,0.29,10,508.00
030031,松翰統一0B購02,"222,000",4,"53,280",0.24,0.24,0.24,0.24,X,0.00,0.23,10,0.24,10,94.30
030032,巨大統一0C購01,0,0,0,--,--,--,--, ,0.00,0.44,499,0.45,499,315.00
030033,滬深2X元大0B購02,"353,000",34,"484,810",1.49,1.49,1.34,1.34,-,0.12,1.33,7,1.38,14,26.55
030034,國喬元大0C購01,"1,300,000",41,"1,907,720",1.58,1.63,1.38,1.38,-,0.14,1.35,10,1.36,50,29.05
030035,力麗元大0A購01,"19,000",2,"23,140",1.22,1.22,1.20,1.20,+,0.01,1.09,100,1.19,10,12.50
030036,力麗元大0B購01,0,0,0,--,--,--,--, ,0.00,1.27,100,1.37,10,12.50
030037,岱宇元大0A購01,"306,000",13,"115,490",0.39,0.40,0.36,0.36, ,0.00,0.36,92,0.37,50,99.40
030038,長興元大11購01,"6,000",1,"8,700",1.45,1.45,1.45,1.45,-,0.05,1.45,100,1.55,10,39.90
030039,長興元大12購01,"65,000",1,"99,450",1.53,1.53,1.53,1.53,-,0.11,1.50,1,1.58,10,39.90
030040,光寶科元大0A購01,"140,000",10,"164,080",1.15,1.20,1.15,1.20,+,0.05,1.20,100,1.21,50,66.20
030041,仁寶元大0B購01,"267,000",13,"160,080",0.59,0.62,0.59,0.62,+,0.10,0.62,80,0.63,50,23.00
030042,台積電元大0A購05,"421,000",52,"784,890",1.91,1.91,1.84,1.87,-,0.04,1.86,24,1.87,40,605.00
030043,台積電元大0A購06,"240,000",15,"364,070",1.53,1.53,1.50,1.50,-,0.06,1.49,110,1.50,10,605.00
030044,英業達元大0A購02,0,0,0,--,--,--,--, ,0.00,0.45,100,0.46,50,25.35
030045,瑞昱元大0A購01,"249,000",11,"327,930",1.32,1.43,1.29,1.32,-,0.05,1.33,10,1.35,50,516.00
030046,興富發元大12購01,"165,000",7,"186,250",1.12,1.14,1.11,1.12,-,0.03,1.10,10,1.11,50,42.50
030047,長榮元大0A購04,0,0,0,--,--,--,--, ,0.00,13.00,100,--,0,133.50
030048,長榮元大0A購05,"26,000",4,"598,400",23.00,23.20,23.00,23.20,+,2.80,20.30,110,--,0,133.50
030049,長榮元大0A購06,"4,000",1,"63,200",15.80,15.80,15.80,15.80,+,0.10,15.20,100,--,0,133.50
030050,萬海元大0C購02,0,0,0,--,--,--,--, ,0.00,20.30,100,--,0,205.50
030051,景碩元大0A購03,"151,000",3,"167,040",1.10,1.11,1.10,1.11,X,0.00,0.98,100,1.08,10,115.50
030052,玉晶光元大0A購03,"6,000",1,"8,880",1.48,1.48,1.48,1.48,-,0.23,1.48,5,1.56,10,506.00
030053,群創元大0A購04,"202,000",32,"134,470",1.20,1.20,0.61,0.64,-,0.56,0.63,5,0.65,12,19.10
030054,群創元大0A購05,"45,000",8,"32,600",0.75,0.75,0.72,0.72,-,0.20,0.62,100,0.72,10,19.10
030055,台勝科元大11購01,0,0,0,--,--,--,--, ,0.00,2.49,100,2.59,10,178.00
030056,台勝科元大12購01,0,0,0,--,--,--,--, ,0.00,2.90,100,3.00,10,178.00
030057,立積元大0A購04,"4,000",1,"1,800",0.45,0.45,0.45,0.45,X,0.00,0.40,100,0.41,50,508.00
030058,瀚宇博元大0B購01,"45,000",2,"27,900",0.62,0.62,0.62,0.62,-,0.03,0.60,100,0.61,50,45.20
030059,松翰元大0B購02,"30,000",2,"22,300",0.75,0.75,0.73,0.73,-,0.03,0.70,100,0.71,50,94.30
03005X,元展05,0,0,0,--,--,--,--, ,0.00,33.20,100,34.20,10,33.00
030060,彩晶元大0A購04,0,0,0,--,--,--,--, ,0.00,2.66,100,--,0,20.15
030061,彩晶元大0A購05,0,0,0,--,--,--,--, ,0.00,2.58,100,--,0,20.15
030062,南茂元大0B購01,"778,000",65,"1,200,280",1.49,1.62,1.49,1.53,+,0.02,1.49,499,1.51,50,48.65
030063,A50正2群益0A購01,"13,000",3,"14,830",1.15,1.15,1.14,1.14,-,0.13,1.11,25,1.12,10,50.85
030064,元金2X群益11購01,"2,000",1,"2,880",1.44,1.44,1.44,1.44,X,0.00,1.45,25,1.46,10,28.33
030065,道瓊銀群益0A購01,0,0,0,--,--,--,--, ,0.00,1.92,25,1.93,10,28.65
030066,華夏群益0B購01,0,0,0,--,--,--,--, ,0.00,0.95,25,1.02,2,36.50
030067,岱宇群益0B購01,0,0,0,--,--,--,--, ,0.00,0.40,25,0.49,5,99.40
030068,長興群益11購01,0,0,0,--,--,--,--, ,0.00,1.47,25,1.53,10,39.90
030069,南帝群益0C購01,"19,000",6,"50,340",2.62,2.68,2.25,2.25,-,0.15,2.05,1,2.13,10,138.00
03006X,元展06,0,0,0,--,--,--,--, ,0.00,67.50,100,68.50,10,72.60
030070,台達電群益0A購01,"95,000",7,"77,700",0.81,0.84,0.80,0.84,-,0.06,0.84,25,0.85,10,303.00
030071,鴻海群益0C購05,"37,000",7,"105,320",2.98,2.98,2.83,2.83,-,0.19,1.02,9,2.90,10,111.50
030072,國巨群益0A購01,"241,000",13,"157,450",0.59,0.73,0.59,0.73,+,0.10,0.71,15,0.73,5,531.00
030073,台積電群益0A購12,"75,000",8,"159,020",2.10,2.14,2.10,2.14,-,0.04,2.13,2,2.16,14,605.00
