證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,元大台灣50,"7,330,366","7,048","1,016,261,767",138.70,138.95,138.15,138.70,-,0.15,138.65,1,138.70,4,0.00
0051,元大中型100,"83,324",88,"4,656,407",55.70,56.00,55.50,55.80, ,0.00,55.45,35,55.70,35,0.00
0052,富邦科技,"821,660",367,"103,669,407",126.55,126.55,125.75,126.10,-,0.45,126.05,21,126.10,75,0.00
0053,元大電子,"8,283",20,"554,342",66.70,67.10,66.70,67.00,+,0.60,66.55,2,67.00,2,0.00
0054,元大台商50,"8,031",7,"252,375",31.48,31.50,31.37,31.47,+,0.11,31.31,27,31.46,15,0.00
0055,元大MSCI金融,"42,010",56,"884,750",21.10,21.12,21.00,21.07,-,0.03,21.05,2,21.09,1,0.00
0056,元大高股息,"8,364,699","7,119","290,306,704",34.62,34.78,34.58,34.78,+,0.13,34.77,7,34.78,11,0.00
0057,富邦摩台,"24,000",6,"2,268,200",94.50,94.65,94.45,94.60,-,0.20,94.15,1,94.40,30,0.00
0061,元大寶滬深,"909,046",459,"21,403,073",23.92,23.92,23.28,23.44,-,0.48,23.41,1,23.44,5,0.00
006203,元大MSCI台灣,"3,081",6,"202,884",65.85,65.90,65.80,65.80,-,0.10,65.60,35,65.85,35,0.00
006204,永豐臺灣加權,"25,000",7,"2,230,900",89.40,89.60,89.20,89.20,+,0.20,88.85,50,89.10,50,0.00
006205,富邦上証,"3,709,483","1,296","141,290,375",38.25,38.29,37.95,37.96,-,0.34,37.95,9,37.96,40,0.00
006206,元大上證50,"354,581",178,"13,593,632",38.60,38.68,38.20,38.27,-,0.33,38.27,19,38.35,5,0.00
006207,FH滬深,"302,399",71,"9,370,444",31.25,31.25,30.82,30.82,-,0.43,30.81,7,30.82,6,0.00
006208,富邦台50,"2,139,126","2,260","170,616,454",79.80,79.85,79.60,79.70,-,0.10,79.70,10,79.75,53,0.00
00625K,富邦上証+R,0,0,0,--,--,--,--, ,0.00,8.74,5,8.93,2,0.00
00631L,元大台灣50正2,"2,200,347",823,"278,647,055",126.30,127.40,125.90,126.65,-,0.50,126.65,150,126.70,5,0.00
00632R,元大台灣50反1,"95,930,963","4,257","543,010,881",5.67,5.68,5.64,5.65, ,0.00,5.65,"9,923",5.66,383,0.00
00633L,富邦上証正2,"7,001,313","1,966","476,098,235",68.80,69.10,67.25,67.25,-,1.60,67.20,19,67.25,141,0.00
00634R,富邦上証反1,"482,000",53,"1,839,760",3.79,3.83,3.79,3.83,+,0.04,3.83,161,3.84,164,0.00
00635U,期元大S&P黃金,"510,175",220,"12,680,898",24.87,24.93,24.83,24.91,-,0.06,24.91,1,24.93,52,0.00
00636,國泰中國A50,"2,922,648","1,369","80,340,542",27.61,27.69,27.40,27.40,-,0.32,27.40,52,27.41,58,0.00
00636K,國泰中國A50+U,0,0,0,--,--,--,--, ,0.00,9.88,12,9.94,12,0.00
00637L,元大滬深300正2,"49,683,506","10,235","1,339,467,179",27.25,27.35,26.55,26.55,-,0.75,26.55,323,26.56,20,0.00
00638R,元大滬深300反1,"412,000",91,"3,152,740",7.61,7.69,7.60,7.69,+,0.08,7.69,287,7.70,30,0.00
00639,富邦深100,"2,531,822","1,652","42,582,386",17.03,17.11,16.74,16.78,-,0.25,16.77,2,16.78,232,0.00
00640L,富邦日本正2,"429,000",45,"12,654,970",29.56,29.56,29.41,29.46,+,0.06,29.45,13,29.48,1,0.00
00641R,富邦日本反1,"65,010",19,"679,285",10.44,10.46,10.44,10.45,+,0.01,10.45,51,10.46,50,0.00
00642U,期元大S&P石油,"17,786,015","3,294","219,175,208",12.28,12.35,12.28,12.33,+,0.27,12.33,662,12.34,"2,215",0.00
00643,群益深証中小,"960,347",454,"17,179,983",18.14,18.14,17.80,17.88,-,0.26,17.86,10,17.88,10,0.00
00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.00,4.16,2,4.24,1,0.00
00645,富邦日本,"168,550",64,"4,367,799",25.88,25.96,25.87,25.87,+,0.09,25.87,4,25.92,51,0.00
00646,元大S&P500,"594,952",429,"21,439,444",36.10,36.10,35.99,35.99,-,0.21,35.99,94,36.00,25,0.00
00647L,元大S&P500正2,"95,093",15,"6,023,464",63.35,63.45,63.30,63.35,-,0.50,63.30,100,63.35,7,0.00
00648R,元大S&P500反1,"467,000",44,"3,389,760",7.25,7.27,7.25,7.26,+,0.03,7.26,57,7.27,"1,198",0.00
00650L,FH香港正2,"907,000",51,"27,079,230",29.84,29.93,29.75,29.76,-,0.24,29.76,42,29.77,140,0.00
00651R,FH香港反1,"109,000",17,"749,370",6.87,6.88,6.86,6.88, ,0.00,6.88,54,6.89,135,0.00
00652,富邦印度,"137,938",135,"3,634,712",26.50,26.52,26.21,26.31,-,0.16,26.30,10,26.36,20,0.00
00653L,富邦印度正2,"239,088",96,"9,269,995",38.88,39.00,38.65,38.65,-,0.47,38.64,1,38.65,45,0.00
00654R,富邦印度反1,"203,000",25,"1,840,640",9.08,9.09,9.06,9.09,+,0.04,9.09,32,9.10,26,0.00
00655L,國泰中國A50正2,"3,970,104","1,099","204,530,356",52.00,52.30,50.85,50.85,-,1.30,50.80,11,50.85,256,0.00
00656R,國泰中國A50反1,"195,000",33,"1,371,320",6.97,7.05,6.97,7.05,+,0.07,7.05,349,7.06,2,0.00
00657,國泰日經225,"101,028",4,"3,594,570",35.58,35.60,35.58,35.60,-,0.16,35.48,30,35.57,61,0.00
00657K,國泰日經225+U,0,0,0,--,--,--,--, ,0.00,12.83,12,12.90,12,0.00
00660,元大歐洲50,"136,000",15,"4,040,450",29.78,29.78,29.62,29.68,+,0.02,29.68,5,29.69,1,0.00
00661,元大日經225,"3,033",5,"111,326",36.80,36.80,36.57,36.57,-,0.28,36.53,15,36.72,15,0.00
00662,富邦NASDAQ,"239,077",181,"11,948,798",50.10,50.10,49.86,49.95,-,0.35,49.94,2,49.95,50,0.00
00663L,國泰臺灣加權正2,"62,000",8,"7,057,350",114.35,114.60,113.75,114.20,X,0.00,114.00,50,114.20,95,0.00
00664R,國泰臺灣加權反1,"3,795,998",394,"24,353,576",6.44,6.45,6.40,6.42,+,0.01,6.42,899,6.43,"5,106",0.00
00665L,富邦恒生國企正2,"65,000",33,"1,548,500",23.82,24.02,23.72,23.72,-,0.32,23.70,4,23.72,37,0.00
00666R,富邦恒生國企反1,"71,000",3,"785,970",11.07,11.07,11.07,11.07,+,0.05,11.07,49,11.09,2,0.00
00668,國泰美國道瓊,"10,000",10,"343,700",34.38,34.38,34.34,34.38,-,0.21,34.36,1,34.38,23,0.00
00668K,國泰美國道瓊+U,0,0,0,--,--,--,--, ,0.00,12.38,6,12.46,6,0.00
00669R,國泰美國道瓊反1,"2,198,000",201,"17,780,730",8.08,8.10,8.08,8.09,+,0.04,8.09,154,8.10,992,0.00
00670L,富邦NASDAQ正2,"163,253",82,"15,484,653",94.65,94.95,94.65,94.80,-,1.20,94.80,50,94.90,11,0.00
00671R,富邦NASDAQ反1,"2,140,500",177,"12,361,970",5.76,5.78,5.76,5.78,+,0.06,5.77,596,5.78,837,0.00
00673R,期元大S&P原油反1,"1,761,000",373,"27,298,870",15.54,15.54,15.46,15.47,-,0.38,15.46,176,15.47,487,0.00
00674R,期元大S&P黃金反1,"324,000",66,"4,162,340",12.85,12.87,12.83,12.83,+,0.02,12.83,30,12.84,70,0.00
00675L,富邦臺灣加權正2,"340,014",159,"16,639,643",48.81,49.25,48.66,49.00,-,0.19,49.00,4,49.01,1,0.00
00676R,富邦臺灣加權反1,"5,471,000",298,"19,175,020",3.52,3.52,3.49,3.51,+,0.01,3.50,657,3.51,"2,374",0.00
00678,群益NBI生技,"353,341",58,"9,956,433",28.06,28.20,28.06,28.17,-,0.40,28.16,2,28.17,2,0.00
00680L,元大美債20正2,"129,000",26,"2,981,840",23.18,23.18,23.09,23.14,-,0.18,23.11,75,23.17,40,0.00
00681R,元大美債20反1,"41,000",10,"574,290",13.98,14.01,13.98,14.01,+,0.06,13.98,4,14.01,67,0.00
00682U,期元大美元指數,"53,000",18,"951,500",17.95,17.96,17.95,17.95, ,0.00,17.96,2,17.97,7,0.00
00683L,期元大美元指正2,"649,000",176,"10,746,580",16.54,16.58,16.53,16.57,+,0.07,16.56,19,16.57,31,0.00
00684R,期元大美元指反1,0,0,0,--,--,--,--, ,0.00,19.25,20,19.31,25,0.00
00685L,群益臺灣加權正2,"71,000",15,"3,019,650",42.71,42.72,42.22,42.72,-,0.48,42.88,10,43.07,5,0.00
00686R,群益臺灣加權反1,"570,000",21,"2,172,510",3.81,3.82,3.80,3.82, ,0.00,3.81,47,3.82,199,0.00
00688L,國泰20年美債正2,"132,000",8,"3,049,380",23.10,23.12,23.08,23.12,-,0.19,23.09,51,23.14,52,0.00
00689R,國泰20年美債反1,"304,000",11,"4,466,760",14.69,14.71,14.69,14.71,+,0.06,14.68,204,14.72,288,0.00
00690,兆豐藍籌30,"7,043",8,"231,133",32.84,32.87,32.78,32.87, ,0.00,32.86,20,32.95,20,0.00
