公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-39.25,12349908,-20.14,9394240,7502141,-20.14,9394240,7502141
1102,亞泥,-,-35.79,8115203,-34.09,7905737,5210319,-34.09,7905737,5210319
1103,嘉泥,-,4.52,157879,-6.79,177060,165029,-6.79,177060,165029
1104,環泥,-,-21.34,457657,-24.93,479518,359966,-24.93,479518,359966
1108,幸福,-,-21.55,377849,-16.08,353189,296395,-16.08,353189,296395
1109,信大,-,-31.06,691591,-28.73,668892,476715,-28.73,668892,476715
1110,東泥,-,-16.26,150784,-32.22,186293,126262,-32.22,186293,126262
1201,味全,-,-3.82,1499513,-8.92,1583493,1442127,-8.92,1583493,1442127
1203,味王,-,-10.83,579498,-5.03,544108,516699,-5.03,544108,516699
1210,大成,-,-11.41,6971663,-13.94,7176513,6175533,-13.94,7176513,6175533
1213,大飲,-,11.09,28674,-49.77,63426,31854,-49.77,63426,31854
1215,卜蜂,-,-8.04,1833883,-10.56,1885469,1686306,-10.56,1885469,1686306
1216,統一,-,25.78,33014880,0.93,41144409,41529085,0.93,41144409,41529085
1217,愛之味,-,38.68,292321,6.82,379511,405408,6.82,379511,405408
1218,泰山,-,12.83,653138,4.31,706484,736974,4.31,706484,736974
1219,福壽,-,-11.14,1144475,-15.24,1199814,1016959,-15.24,1199814,1016959
1220,台榮,-,-33.66,303764,-23.01,261737,201511,-23.01,261737,201511
1225,福懋油,-,-6.81,912234,-11.82,964100,850077,-11.82,964100,850077
1227,佳格,-,-29.34,4148791,-32.79,4362134,2931475,-32.79,4362134,2931475
1229,聯華,本公司本年度合併營收成長主因自108年4月起納入子公司神通電腦及神通資訊營收所致。,-34.55,920437,22.14,493179,602410,22.14,493179,602410
1231,聯華食,-,-3.13,911649,-3.32,913458,883070,-3.32,913458,883070
1232,大統益,-,-8.41,1615860,-8.65,1620137,1479927,-8.65,1620137,1479927
1233,天仁,-,13.9,196555,-1.08,226345,223889,-1.08,226345,223889
1234,黑松,-,-9.53,918928,-15.97,989413,831335,-15.97,989413,831335
1235,興泰,-,-14.06,1571,-22.94,1752,1350,-22.94,1752,1350
1236,宏亞,-,-23.69,273232,-36.23,326947,208484,-36.23,326947,208484
1702,南僑,-,-18.87,1839499,-13.16,1718531,1492225,-13.16,1718531,1492225
1737,臺鹽,-,-14.24,268745,-16.07,274611,230456,-16.07,274611,230456
1301,台塑,-,-11.44,15648643,-28.93,19500909,13858050,-28.93,19500909,13858050
1303,南亞,-,-6.81,23946748,-10.72,24994873,22313695,-10.72,24994873,22313695
1304,台聚,-,-22.12,4568559,-28.9,5004581,3557870,-28.9,5004581,3557870
1305,華夏,-,-15.51,1233303,-12.67,1193236,1042016,-12.67,1193236,1042016
1307,三芳,-,-2.46,767780,-17.76,910675,748887,-17.76,910675,748887
1308,亞聚,-,-35.3,593109,-38.12,620182,383724,-38.12,620182,383724
1309,台達化,-,-26.02,1397706,-40.8,1746564,1033894,-40.8,1746564,1033894
1310,台苯,-,-16.09,915803,-31.26,1117957,768429,-31.26,1117957,768429
1312,國喬,-,-10.52,1645058,-22.71,1904635,1471941,-22.71,1904635,1471941
1313,聯成,-,-40.82,5711986,-43.09,5939881,3379946,-43.09,5939881,3379946
1314,中石化,-,17.18,1760840,-19.64,2567786,2063432,-19.64,2567786,2063432
1315,達新,-,-13.4,191026,-13.91,192157,165414,-13.91,192157,165414
1321,大洋,-,-18.92,440232,-18.04,435535,356932,-18.04,435535,356932
1323,永裕,-,-26.95,325715,-22.69,307775,237926,-22.69,307775,237926
1324,地球,-,-16.89,92103,-22.83,99191,76543,-22.83,99191,76543
1325,恆大,-,-10.48,65899,-27.63,81517,58992,-27.63,81517,58992
1326,台化,-,-7.14,24389832,-28.75,31787788,22647976,-28.75,31787788,22647976
4306,炎洲,-,-19.79,1246172,-33.37,1500134,999485,-33.37,1500134,999485
1402,遠東新,-,-13.65,20227978,-18.59,21454753,17466170,-18.59,21454753,17466170
1409,新纖,-,-4.12,2670865,-26.24,3471998,2560642,-26.24,3471998,2560642
1410,南染,-,-19.44,30107,-35.1,37375,24254,-35.1,37375,24254
1413,宏洲,因中美貿易爭端未明，下游客戶下單保守，及春節休假所致,-12.33,183726,-51.27,330573,161063,-51.27,330573,161063
1414,東和,-,-18.83,68651,-16.96,67103,55721,-16.96,67103,55721
1417,嘉裕,-,-9.74,143657,-17.88,157899,129664,-17.88,157899,129664
1418,東華,-,83.82,5238,-18.29,11785,9629,-18.29,11785,9629
1419,新紡,-,-16.19,194686,29.6,125881,163148,29.6,125881,163148
1423,利華,適逢農曆新年工作日數減少、美中情勢不明及武漢疫情發酵延後開工因素，下游紗線業者需求仍持續疲弱。,2.48,11776,-71.31,42073,12069,-71.31,42073,12069
1434,福懋,-,-13.02,3044939,-31.87,3887745,2648364,-31.87,3887745,2648364
1439,中和,主係因去年受乾旱影響羊毛價格基期偏高，且適逢今年一月底農曆春節連假因素減少出貨量，造成營收較去年同期減少。,-4.34,11264,-52.12,22506,10775,-52.12,22506,10775
1440,南紡,-,-27.09,1857387,-33.43,2034326,1354218,-33.43,2034326,1354218
1441,大東,-,13.49,125551,-4.0,148439,142499,-4.0,148439,142499
1444,力麗,-,-23.21,970164,-37.14,1185284,744969,-37.14,1185284,744969
1445,大宇,-,-16.02,117192,-40.0,164017,98410,-40.0,164017,98410
1446,宏和,-,-61.71,90414,-4.0,36057,34612,-4.0,36057,34612
1447,力鵬,-,-25.08,1174694,-30.28,1262287,879978,-30.28,1262287,879978
1449,佳和,-,-46.8,209856,-44.45,200961,111626,-44.45,200961,111626
1451,年興,-,-3.27,666468,-23.41,841714,644616,-23.41,841714,644616
1452,宏益,-,-28.62,160406,-44.19,205151,114486,-44.19,205151,114486
1454,台富,-,-14.57,138854,-30.43,170512,118611,-30.43,170512,118611
1455,集盛,-,-15.71,806421,-48.95,1331476,679676,-48.95,1331476,679676
1457,宜進,-,-16.39,354395,-43.27,522335,296309,-43.27,522335,296309
1459,聯發,109年適逢過年，實際銷售天數23天,-38.6,233912,-56.76,332149,143616,-56.76,332149,143616
1460,宏遠,-,-22.57,819126,-24.79,843264,634183,-24.79,843264,634183
1463,強盛,"108年子公司保強建設入帳,本月則無",-20.45,43323,-51.68,71333,34463,-51.68,71333,34463
1464,得力,-,-18.38,1079557,15.73,761248,881034,15.73,761248,881034
1465,偉全,主因去年同期含已處分子公司之營收基期高且本期適逢農曆年假營業日減少所致,-28.06,49301,-65.12,101708,35466,-65.12,101708,35466
1466,聚隆,-,-15.88,270698,-40.64,383622,227705,-40.64,383622,227705
1467,南緯,-,-15.01,519993,-28.3,616427,441942,-28.3,616427,441942
1468,昶和,-,-12.21,86749,-25.96,102870,76156,-25.96,102870,76156
1470,大統新創,-,-19.45,66628,-13.55,62082,53667,-13.55,62082,53667
1472,三洋紡,寢具收入增加所致,-13.53,33933,50.08,19548,29339,50.08,19548,29339
1473,台南,-,17.33,687386,8.03,746584,806567,8.03,746584,806567
1474,弘裕,-,-43.5,306183,-44.15,309742,172985,-44.15,309742,172985
1475,業旺,-,-21.34,3963,-47.34,5920,3117,-47.34,5920,3117
